show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
80182480,Movie,krish trish and baltiboy,,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,"September 8, 2017",2009,TV-Y7,58 min,Children & Family Movies,"a team of minstrels, including a monkey, cat and donkey, narrate folktales from the indian regions of rajasthan, kerala and punjab."
80182483,Movie,krish trish and baltiboy: battle of wits,"munjal shroff, tilak shetty","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra",,"September 8, 2017",2013,TV-Y7,62 min,Children & Family Movies,"an artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice."
80182596,Movie,krish trish and baltiboy: best friends forever,"munjal shroff, tilak shetty","Damandeep Singh Baggan, Smita Malhotra, Deepak Chachra",,"September 8, 2017",2016,TV-Y,65 min,Children & Family Movies,"a cat, monkey and donkey team up to narrate folktales about friendship from northeast india, and the indian regions of bihar and rajasthan."
80182482,Movie,krish trish and baltiboy: comics of india,tilak shetty,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,"September 8, 2017",2012,TV-Y7,61 min,Children & Family Movies,"in three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister."
80182597,Movie,krish trish and baltiboy: oversmartness never pays,tilak shetty,"Rishi Gambhir, Smita Malhotra, Deepak Chachra",,"September 8, 2017",2017,TV-Y7,65 min,Children & Family Movies,"a cat, monkey and donkey learn the consequences of cheating through stories from the indian regions of rajasthan, west bengal and maharashtra."
80182481,Movie,krish trish and baltiboy: part ii,,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,"September 8, 2017",2010,TV-Y7,58 min,Children & Family Movies,"animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon."
80182621,Movie,krish trish and baltiboy: the greatest trick,"munjal shroff, tilak shetty","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,"September 8, 2017",2013,TV-Y7,60 min,Children & Family Movies,"the consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything."
80057969,Movie,love,gaspar noé,"Karl Glusman, Klara Kristin, Aomi Muyock, Ugo Fox, Juan Saavedra, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy","France, Belgium","September 8, 2017",2015,NR,135 min,"Cult Movies, Dramas, Independent Movies",a man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.
80060297,Movie,manhattan romance,tom o'brien,"Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier",USA,"September 8, 2017",2014,TV-14,98 min,"Comedies, Independent Movies, Romantic Movies",a filmmaker working on a documentary about love in modern manhattan becomes personally entangled in the romantic lives of his subjects.
80046728,Movie,moonwalkers,antoine bardou-jacquet,"Ron Perlman, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte","France, Belgium","September 8, 2017",2015,R,96 min,"Action & Adventure, Comedies, International Movies","a brain-addled war vet, a failing band manager and a stanley kubrick impersonator help the cia construct an epic scam by faking the 1969 moon landing."
80046727,Movie,rolling papers,mitch dickman,,"United States, Uruguay","September 8, 2017",2015,TV-MA,79 min,Documentaries,"as the newspaper industry takes a hit, the denver post breaks new ground with a section dedicated to cannabis culture."
70304988,Movie,stonehearst asylum,brad anderson,"Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsley, Michael Caine, Jason Flemyng, Sophie Kennedy Clark, Sinéad Cusack, Edmund Kingsley",USA,"September 8, 2017",2014,PG-13,113 min,"Horror Movies, Thrillers","in 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient."
80057700,Movie,the runner,austin stark,"Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier",USA,"September 8, 2017",2015,R,90 min,"Dramas, Independent Movies",a new orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
80045922,Movie,6 years,hannah fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael",USA,"September 8, 2015",2015,NR,80 min,"Dramas, Independent Movies, Romantic Movies","as a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future."
80244601,TV Show,castle of stars,,"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong",,"September 7, 2018",2015,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","as four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life."
80203094,Movie,city of joy,madeleine gavin,,"United States,","September 7, 2018",2018,TV-MA,77 min,Documentaries,"women who've been sexually brutalized in war-torn congo begin to heal at city of joy, a center that helps them regain a sense of self and empowerment."
80190843,TV Show,first and last,,,,"September 7, 2018",2018,TV-MA,1 Season,Docuseries,take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at georgia's gwinnett county jail.
70241607,Movie,laddaland,sopon sukdapisit,"Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit",Thailand,"September 7, 2018",2011,TV-MA,112 min,"Horror Movies, International Movies","when a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity."
80988892,Movie,next gen,"kevin r. adams, joe ksander","John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu","China, Canada, United States","September 7, 2018",2018,TV-PG,106 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","when lonely mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain."
80239639,Movie,sierra burgess is a loser,ian samuels,"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz",USA,"September 7, 2018",2018,PG-13,106 min,"Comedies, Romantic Movies",a wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.
80159586,Movie,the most assassinated woman in the world,franck ribière,"Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé","Belgium, United Kingdom, United States","September 7, 2018",2018,TV-MA,102 min,"Dramas, International Movies, Thrillers","in 1930s paris, an actress famous for her gory death scenes at the grand guignol theater contends with a mysterious stalker and ghosts from her past."
80152447,Movie,cézanne et moi,daniele thompson,"Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker","Belgium, France","September 7, 2017",2016,R,114 min,"Dramas, Independent Movies, International Movies","this historical drama explores the long and often volatile friendship of painter paul cézanne and writer émile zola, who first met as schoolboys."
80221550,TV Show,archibald's next big thing,,"Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren",,"September 6, 2019",2019,TV-Y7,1 Season,"Kids' TV, TV Comedies","happy-go-lucky chicken archibald may not remember to do his chores, but he never forgets to have fun. after all, life's an adventure!"
81154455,Movie,article 15,anubhav sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade",India,"September 6, 2019",2019,TV-MA,125 min,"Dramas, International Movies, Thrillers",the grim realities of caste discrimination come to light as an entitled but upright city cop ventures into india’s heartland to investigate a murder.
81113928,Movie,care of kancharapalem,maha venkatesh,"Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri",,"September 6, 2019",2018,TV-14,142 min,"Comedies, Dramas, Independent Movies","from a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small indian town."
81052275,Movie,ee nagaraniki emaindi,tharun bhascker,"Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary",India,"September 6, 2019",2018,TV-14,133 min,"Comedies, International Movies","in goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true."
81132437,Movie,kill me if you dare,şenol sönmez,"Murat Boz, Seda Bakan, Açelya Topaloğlu, Özgür Emre Yıldırım, Seda Güven, Yosi Mizrahi, Dilşad Şimşek, Ali Yoğurtçuoğlu",,"September 6, 2019",2019,TV-14,100 min,"Comedies, International Movies, Romantic Movies","bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part."
80178151,TV Show,the spy,,"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes",France,"September 6, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers","in the 1960s, israeli clerk-turned-secret agent eli cohen goes deep undercover inside syria on a perilous, years-long mission to spy for mossad."
80058026,Movie,hell and back,"tom gianas, ross r. shuman","Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller, Rob Riggle, Susan Sarandon, Danny McBride, Jennifer Coolidge, John Farley, Maria Bamford",USA,"September 6, 2018",2015,R,86 min,"Action & Adventure, Comedies, Independent Movies","when best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld."
70303496,Movie,pk,rajkumar hirani,"Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar",India,"September 6, 2018",2014,TV-14,146 min,"Comedies, Dramas, International Movies",aamir khan teams with director rajkumar hirani to play a social crusader in a political satire on the state of corruption in india.
80162141,Movie,hard tide,"robert osman, nathanael wiseman","Nathanael Wiseman, Mem Ferda, Alexandra Newick, Oliver Stark, Kat Gellin, Andy Lucas, Ralph Brown, Beverly Hills",United Kingdom,"September 6, 2017",2015,TV-MA,79 min,"Dramas, Independent Movies",a drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.
80095641,Movie,elstree 1976,jon spira,"Paul Blake, Jeremy Bulloch, John Chapman, Anthony Forrest, Laurie Goode, Garrick Hagon, Derek Lyons, Angus MacInnes, David Prowse, Pam Rose",United Kingdom,"September 6, 2016",2015,TV-PG,102 min,Documentaries,"then and now footage of bit players who appeared in ""star wars"" tells the story of how the film and its legions of fans changed their lives forever."
81176188,Movie,american factory: a conversation with the obamas,,"President Barack Obama, Michelle Obama, Julia Reichert, Steven Bognar",,"September 5, 2019",2019,TV-G,10 min,Documentaries,barack and michelle obama talk with directors steven bognar and julia reichert about the documentary and the importance of storytelling.
80159880,Movie,atm,mez tharatorn,"Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak","United States, Canada","September 5, 2018",2012,TV-14,122 min,"Comedies, International Movies, Romantic Movies","when a broken atm dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job."
81016044,Movie,bangkok traffic (love) story,adisorn tresirikasem,"Theeradej Wongpuapan, Sirin Horwang, Ungsumalynn Sirapatsakmetha, Panissara Phimpru, Taksaorn Paksukcharern, Charlie Trairat, Kazuki Yano",Thailand,"September 5, 2018",2009,TV-14,126 min,"Comedies, International Movies, Romantic Movies","after an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love."
80158838,Movie,i fine... thank you... love you,mez tharatorn,"Preechaya Pongthananikorn, Sunny Suwanmethanont, Sora Aoi, Puttachat Pongsuchat, Popetorn Soonthornyanakij",Thailand,"September 5, 2018",2014,TV-14,116 min,"Comedies, International Movies, Romantic Movies","desperate to go to the u.s. to win back his girlfriend, yim hires a tutor to teach him english. but things don't go according to plan."
81016045,Movie,one day,banjong pisanthanakun,"Chantavit Dhanasevi, Nittha Jirayungyurn, Theerapat Sajakul, Prim Bulakul, Kris Srepoomseth, Somyos Matures, Sutthatip Wutichaipradit, Rermthon Kemapech, Kaz Sawamura",Thailand,"September 5, 2018",2016,TV-PG,135 min,"Dramas, International Movies, Romantic Movies","when his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again."
70142798,Movie,phobia 2,"banjong pisanthanakun, paween purikitpanya, songyos sugmakanan, parkpoom wongpoom, visute poolvoralaks","Jirayu La-ongmanee, Charlie Trairat, Worrawech Danuwong, Marsha Wattanapanich, Nicole Theriault, Chumphorn Thepphithak, Gacha Plienwithi, Suteerush Channukool, Peeratchai Roompol, Nattapong Chartpong",Thailand,"September 5, 2018",2009,TV-MA,125 min,"Horror Movies, International Movies","from disfiguring punishments to festering souls, thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology."
70062814,Movie,shutter,"banjong pisanthanakun, parkpoom wongpoom","Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool, Titikarn Tongprasearth, Sivagorn Muttamara, Chachchaya Chalemphol, Kachormsak Naruepatr",Thailand,"September 5, 2018",2004,TV-MA,96 min,"Horror Movies, International Movies","after killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice."
80158839,Movie,suckseed,chayanop boonprakob,"Jirayu La-ongmanee, Pachara Chirathivat, Nattasha Nauljam, Thawat Pornrattanaprasert",Thailand,"September 5, 2018",2011,TV-MA,130 min,"Comedies, International Movies","when his boyhood crush ern returns, ped forms a band with his friend to impress her. romantic rivalries bloom after the talented ern joins the group."
80147760,Movie,carrie pilby,susan johnson,"Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges",USA,"September 5, 2017",2016,TV-14,98 min,"Comedies, Dramas","a socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date."
80177405,Movie,marc maron: too real,lynn shelton,Marc Maron,USA,"September 5, 2017",2017,TV-MA,70 min,Stand-Up Comedy,"battle-scarred stand-up comedian marc maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world."
80113482,TV Show,no tomorrow,,"Joshua Sasse, Tori Anderson, Jonathan Langdon, Sarayu Blue, Jesse Rath, Amy Pietz",USA,"September 5, 2017",2016,TV-14,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas","her straitjacketed life turned topsy-turvy by hunky xavier, evie discovers a new freedom – even though her man just might be an end-of-days crackpot."
81160036,Movie,saawan,farhan alam,"Karam Hussain, Arif Bahlim, Najiba Faiz, Saleem Mairaj, Imran Aslam, Daniyal Yousuf, Sohail Malik, Ali Hafiz",Pakistan,"September 4, 2019",2016,TV-14,128 min,"Dramas, Independent Movies, International Movies","outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. based on a true story."
81173255,Movie,the heretics,chad archibald,"Nina Kiri, Ry Barrett, Jorja Cadence, Will King, Nina Richmond",Canada,"September 4, 2019",2017,TV-MA,88 min,Horror Movies,a withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.
81078908,Movie,the world we make,brian baugh,"Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams",USA,"September 4, 2019",2019,PG,108 min,"Dramas, Romantic Movies","a teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test."
81155784,Movie,watchman,a. l. vijay,"G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth",India,"September 4, 2019",2019,TV-14,93 min,"Comedies, Dramas, International Movies","rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside."
80201906,Movie,black panther,ryan coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee",USA,"September 4, 2018",2018,PG-13,135 min,"Action & Adventure, Sci-Fi & Fantasy","t'challa, the superpowered new leader of the hidden, highly advanced african nation of wakanda, strives to protect his home from enemies old and new."
80052612,Movie,man up,ben palmer,"Lake Bell, Simon Pegg, Ophelia Lovibond, Olivia Williams, Rory Kinnear, Henry Lloyd-Hughes, Ken Stott, Sharon Horgan, Harriet Walter, Stephen Campbell Moore, Dean-Charles Chapman, Phoebe Waller-Bridge","United Kingdom, France","September 4, 2018",2015,R,88 min,"Comedies, International Movies, Romantic Movies","a single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date."
80113641,TV Show,frequency,,"Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar",USA,"September 4, 2017",2016,TV-14,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries","a detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp."
81054495,Movie,mo gilligan: momentum,chris howe,Mo Gilligan,United Kingdom,"September 30, 2019",2019,TV-MA,64 min,Stand-Up Comedy,"comedian mo gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club."
80996949,TV Show,adam ruins everything,,"Adam Conover, Adam Lustick, Emily Axford",USA,"September 30, 2018",2018,TV-14,1 Season,TV Comedies,"education can be fun – and funny. comedian adam conover bursts misconceptions, deconstructs topics and leaves with positive takeaways."
80239337,TV Show,ben 10,,"Tara Strong, Montse Hernandez, David Kaye, Roger Craig Smith, Todd Haberkorn, Dwight Schultz, Daryl Sabara",USA,"September 30, 2018",2016,TV-Y7,1 Season,Kids' TV,ben can transform into ten types of aliens. he'll try 'em all while adventuring across the country with his cousin gwen and grandpa max.
70212504,Movie,big miracle,ken kwapis,"Drew Barrymore, John Krasinski, Kristen Bell, Dermot Mulroney, Tim Blake Nelson, Vinessa Shaw, Ted Danson, Stephen Root, Rob Riggle, Michael Gaston","United States, United Kingdom","September 30, 2018",2012,PG,107 min,"Children & Family Movies, Dramas","after a reporter writes about whales trapped in the arctic circle, the u.s. and u.s.s.r. team up to rescue them in this tale inspired by true events."
81011682,TV Show,christiane amanpour: sex & love around the world,,,USA,"September 30, 2018",2018,TV-MA,1 Season,Docuseries,"a contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. cnn's christiane amanpour reports."
80128317,TV Show,the eighties,,,USA,"September 30, 2018",2016,TV-PG,1 Season,Docuseries,"this nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today."
81027384,TV Show,the nineties,,,USA,"September 30, 2018",2017,TV-14,1 Season,Docuseries,this u.s.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. executive produced by tom hanks.
80030186,TV Show,the seventies,,,USA,"September 30, 2018",2015,TV-PG,1 Season,Docuseries,"this series examines 1970s america, focusing on the major political and historical landmarks of the decade and the cultural response to those events."
80116921,TV Show,we bare bears,,"Eric Edelstein, Demetri Martin, Bobby Moynihan",USA,"September 30, 2018",2017,TV-Y7,1 Season,"Kids' TV, TV Comedies","grizzly, panda and ice bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world."
80187061,Movie,the mayor,park in-je,"Min-sik Choi, Do-won Kwak, Eun-kyung Shim, So-ri Moon, Mi-ran Ra, Hye-young Ryu, Ki Hong Lee, Sun-gyu Jin, Joo-yeon Lee, Byeong-eun Park",South Korea,"September 30, 2017",2017,TV-MA,130 min,"Dramas, International Movies","with the presidency in mind, the incumbent mayor of seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden."
80181555,TV Show,the royal house of windsor,,,United Kingdom,"September 30, 2017",2017,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows","drawing on newly available info, this show traces how the british royal family has survived the last 100 years of power struggles, politics and more."
80081155,Movie,amanda knox,"rod blackhurst, brian mcginn",,"Denmark, United States","September 30, 2016",2016,TV-MA,92 min,Documentaries,she was twice convicted and acquitted of murder. amanda knox and the people closest to her case speak out in this illuminating documentary.
80184358,TV Show,lovesick,,"Kongyingyong Chonlathorn, Phumphothingam Nawat, Luangsodsai Anupart, Nuchanart Veerakaarn, Chindavanich Primrose, Charnmanoon Pannin, Nungira Hanwutinanon, Ausavaterakul Ausavapat, Sirikiet Saejea, Nontapan Chuenwarin",,"September 3, 2018",2014,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",love and academics get complicated at an all-male college that happens to be located next to an all-female high school.
80198585,Movie,the debt collector,jesse v. johnson,"Scott Adkins, Louis Mandylor, Vladimir Kulich, Michael Paré, Rachel Brann, Selina Lo, Tony Todd","United Kingdom, United States","September 3, 2018",2018,TV-MA,96 min,Action & Adventure,"a broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection."
70233894,Movie,act of vengeance,mahsun kırmızıgül,"Haluk Bilginer, Mahsun Kırmızıgül, Mustafa Sandal, Gina Gershon, Robert Patrick, Danny Glover, Engin Altan Düzyatan, Scott William Winters, Sharrieff Pugh","Turkey, United States","September 29, 2018",2010,NR,112 min,"Action & Adventure, International Movies","two turkish agents are sent to new york city on a mission to capture a notorious terrorist known only as ""dejjal"" (arabic for antichrist)."
81011955,Movie,paradise lost,monique gardenberg,"Júlio Andrade, Lee Taylor, Hermila Guedes, Julia Konrad, Erasmo Carlos, Marjorie Estiano, Seu Jorge, Jaloo, Felipe Abib, Humberto Carrão, Malu Galli",Brazil,"September 29, 2018",2018,TV-MA,111 min,"Dramas, Independent Movies, International Movies","a cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there."
80128722,Movie,gerald's game,mike flanagan,"Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken, Chiara Aurelia",USA,"September 29, 2017",2017,TV-MA,103 min,"Horror Movies, Thrillers","when her husband's sex game goes wrong, jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice."
80182115,Movie,long shot,jacob lamendola,,USA,"September 29, 2017",2017,TV-14,40 min,Documentaries,"when juan catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular tv show. a documentary."
80163293,TV Show,mak cun,,"Erma Fatima, Rahim Razali, Umie Aida, Nora Danish",,"September 29, 2017",2015,TV-PG,1 Season,"International TV Shows, TV Comedies, TV Dramas",a woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.
80104068,Movie,our souls at night,ritesh batra,"Robert Redford, Jane Fonda, Bruce Dern, Matthias Schoenaerts, Iain Armitage, Judy Greer, Phyllis Somerville",USA,"September 29, 2017",2017,TV-14,103 min,"Dramas, Romantic Movies","after widowed neighbors addie and louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom."
80119349,Movie,out of thin air,dylan howitt,,,"September 29, 2017",2017,TV-14,85 min,"Documentaries, International Movies","picking up 40 years after six were convicted for two strange murders in iceland, this chilling documentary proves confessions can’t always be trusted."
